"resultNumber","lemma","senseNumber","snippet"
"205","aandelentransactie","1.0",""
"206","aandelenuitgifte","0.0",""
"207","aandelenverhouding","0.0",""
"208","aandelenverkoop","1.0","verkoop van aandelen"
"209","aandelenzwendel","1.0",""
"210","aandoening","1.0",""
"211","aandraagbonus","1.0","bonus bij aandragen nieuwe collega"
"212","aandrang","1.0",""
"213","aandrijfas","0.0",""
"214","aandrijfkracht","0.0",""
"215","aandrijver","0.0",""
"216","aandrijving","1.0",""
"217","aanduiding","1.0",""
"218","aaneenrijging","1.0",""
"219","aaneenschakeling","1.0",""
"220","aaneensluiting","0.0",""
"221","aanfluiting","1.0",""
"222","aangeefster","1.0",""
"223","aangehoudene","1.0","gearresteerde"
"224","aangeklaagde","1.0",""
"225","aangelegenheid","1.0",""
"226","aangepastheid","0.0",""
"227","aangeschrevene","0.0",""
"228","aangeslotene","1.0","iemand die ergens bij aangesloten is"
"229","aangeslotene","2.0","iemand die ergens op aangesloten is"
"230","aangesprokene","1.0","iemand die aangesproken wordt"
"231","aangesprokene","2.0","iemand op wie een boodschap gericht is"
"232","aangesprokene","3.0","iemand die op iets wordt aangesproken"
"233","aangevallene","0.0",""
"234","aangever","1.0",""
"235","aangewezene","1.0",""
"236","aangezichtspijn","1.0",""
"237","aangifte","1.0",""
"238","aangiftebereidheid","1.0",""
"239","aangiftehulp","1.0","hulp bij de belastingaangifte"
"240","aangifteplicht","1.0","plicht om aangifte te doen"
"241","aangroei","1.0",""
"242","aangroeipremie","0.0",""
"243","aanhaling","1.0","citaat"
"244","aanhaling","2.0","liefkozende aanraking"
"245","aanhang","1.0",""
"246","aanhanger","1.0","overtuigd voorstander"
"247","aanhanger","1.1","politieke volgeling"
"248","aanhanger","1.2","fan van een sportploeg e.d."
"249","aanhanger","1.3","voorstander van zekere leer"
"250","aanhanger","1.4","liefhebber van zekere kunststijl"
"251","aanhanger","2.0","aanhangwagen"
"252","aanhangfiets","1.0",""
"253","aanhangmotor","0.0",""
"254","aanhangster","1.0",""
"255","aanhangwagen","1.0",""
"256","aanhankelijkheid","1.0",""
"257","aanhankelijkheidsbetuiging","0.0",""
"258","aanhechting","1.0",""
"259","aanhef","1.0",""
"260","aanhitser","0.0",""
"261","aanhitsing","0.0",""
"262","aanhoorder","0.0",""
"263","aanhorigheid","1.0",""
"264","aanhouder","1.0",""
"265","aanhouding","1.0",""
"266","aanjaagfunctie","0.0",""
"267","aanjager","1.0",""
"268","aanklacht","1.0",""
"269","aanklager","1.0",""
"270","aankleding","1.0",""
"271","aankleving","0.0",""
"272","aanknoping","1.0",""
"273","aankomst","1.0",""
"274","aankomstdatum","1.0","datum waarop iemand of iets aankomt"
"275","aankomsthal","1.0",""
"276","aankomstlijn","1.0","finishlijn"
"277","aankomstplaats","1.0",""
"278","aankomsttijd","1.0","tijdstip van aankomst naar een dienstregeling of planning"
"279","aankomsttijd","2.0","tijdstip van aankomst naar eigen vermogen e.d."
"280","aankomsttijd","3.0","tijdstip van aankomst naar meting"
"281","aankondiger","0.0",""
"282","aankondiging","1.0",""
"283","aankondigingspolitiek","1.0","politiek die alleen plannen aankondigt"
"284","aankoop","1.0",""
"285","aankoopbelasting","1.0","aanschafbelasting"
"286","aankoopbeslissing","0.0",""
"287","aankoopdienst","1.0",""
"288","aankoopfraude","1.0","fraude bij aankopen"
"289","aankoopkoers","0.0",""
"290","aankoopkosten","1.0","kosten bij aankopen"
"291","aankoopnota","0.0",""
"292","aankoopprijs","1.0",""
"293","aankoopregeling","0.0",""
"294","aankoopsom","1.0",""
"295","aankoper","1.0",""
"296","aanlanding","0.0",""
"297","aanlandplicht","1.0","teruggooiverbod"
"298","aanleg","1.0",""
"299","aanleghaven","1.0",""
"300","aanlegkosten","1.0",""
"301","aanlegplaats","1.0",""
"302","aanlegsteiger","1.0",""
"303","aanlegvergunning","0.0",""
"304","aanleiding","1.0",""
"305","aanleuning","1.0",""
"306","aanleunwoning","1.0",""
"307","aanlevering","1.0",""
"308","aanlokkelijkheid","0.0",""
"309","aanlokking","0.0",""
"310","aanloop","1.0",""
"311","aanloopfase","1.0",""
"312","aanloophaven","1.0",""
"313","aanloopkosten","1.0",""
"314","aanloopperiode","1.0","aanlooptijd"
"315","aanlooproute","0.0",""
"316","aanloopschaal","1.0","lagere salarisschaal"
"317","aanlooptijd","1.0","aanloopperiode"
"318","aanloopwedstrijd","1.0",""
"319","aanmaakdatum","1.0","datum waarop een product is aangemaakt"
"320","aanmaakkosten","0.0",""
"321","aanmaning","1.0",""
"322","aanmaningsbrief","1.0","brief met een aanmaning"
"323","aanmatiging","1.0",""
"324","aanmelder","0.0",""
"325","aanmelding","1.0",""
"326","aanmeldingsbon","",""
"327","aanmeldingsdatum","0.0",""
"328","aanmeldingstermijn","1.0","termijn voor aanmelding"
"329","aanmerkelijkbelanghouder","1.0",""
"330","aanmerkelijkbelangpositie","0.0",""
"331","aanmerking","1.0",""
"332","aanminnigheid","0.0",""
"333","aanmoediging","1.0",""
"334","aanmoedigingsprijs","1.0",""
"335","aanmunting","1.0",""
"336","aanneemsom","1.0",""
"337","aannemelijkheid","0.0",""
"338","aannemer","1.0","iemand die een opdracht aanneemt"
"339","aannemer","2.0","leider van bouwwerkzaamheden"
"340","aannemerij","1.0",""
"341","aannemerswereld","0.0",""
"342","aanneming","1.0",""
"343","aannemingsmaatschappij","1.0",""
"344","aannemingsovereenkomst","0.0",""
"345","aannemingssom","0.0",""
"346","aanpak","1.0",""
"347","aanpasbaarheid","0.0",""
"348","aanpassing","1.0",""
"349","aanpassingsfase","0.0",""
