"resultNumber","lemma","senseNumber","snippet"
"346","zevenduizendste","0.0",""
"347","zevenendertig","",""
"348","zevenendertigste","0.0",""
"349","zevenennegentig","",""
"350","zevenennegentigste","0.0",""
"351","zevenentachtig","",""
"352","zevenentachtigste","0.0",""
"353","zevenentwintig","",""
"354","zevenentwintigduizend","",""
"355","zevenentwintigste","1.0",""
"356","zevenenveertig","",""
"357","zevenenveertigste","0.0",""
"358","zevenenvijftig","",""
"359","zevenenvijftigste","0.0",""
"360","zevenenzestig","",""
"361","zevenenzestigste","0.0",""
"362","zevenenzeventig","",""
"363","zevenenzeventigste","0.0",""
"364","zevenhonderd","",""
"365","zevenhonderdduizend","",""
"366","zevenhonderdduizendste","0.0",""
"367","zevenhonderdste","0.0",""
"368","zevenhonderdvijftig","",""
"369","zeven negende","0.0",""
"370","zeventien","",""
"371","zeventiende","",""
"372","zeven tiende","0.0",""
"373","zeventienduizend","",""
"374","zeventienduizendste","0.0",""
"375","zeventienhonderd","",""
"376","zeventienhonderdste","0.0",""
"377","zeventig","",""
"378","zeventigduizend","",""
"379","zeventigduizendste","0.0",""
"380","zeventigste","",""
