"resultNumber","lemma","senseNumber","snippet"
"196","beslag","3.1","mengsel van mout"
"197","bessengelei","1.0",""
"198","bessenjam","0.0",""
"199","bessenjenever","1.0",""
"200","bessensap","1.0",""
"201","bessenwijn","1.0","vruchtenwijn van bessensap"
"202","bestrijdingsmiddel","1.0",""
"203","beton","1.0",""
"204","beuk","A.1.3","hout van een beukenboom"
"205","beukenhout","1.0",""
"206","beukenpollen","1.0","stuifmeel van de beuk"
"207","beukenstuifmeel","1.0","stuifmeel van de beuk"
"208","bewaarwijn","1.0","wijn geschikt om te bewaren"
"209","biefstuk","1.1","gespierd rundvlees"
"210","biefstuk","2.1","goed spiervlees"
"211","bier","1.0","alcoholische drank"
"212","biergist","1.0",""
"213","biet","1.1","biet als stof"
"214","bietensap","0.0",""
"215","bietsuiker","0.0",""
"216","bijbelpapier","0.0",""
"217","bijenhoning","0.0",""
"218","bilirubine","1.0","galkleurstof"
"219","bimi","1.0","kruising van broccoli en Chinese koolsoort"
"220","biobenzine","1.0","benzine met biomassa"
"221","biodiesel","1.0",""
"222","biogas","1.0",""
"223","bioplastic","1.0","afbreekbaar plastic"
"224","biowaterstof","1.0","waterstof uit biomassa"
"225","bisschopswijn","1.0","warme, gekruide wijn"
"226","bitterwater","0.0",""
"227","black russian","1.0","cocktail van wodka"
"228","bladgroen","1.0","groene bladkleurstof"
"229","bladgroen","5.0","voedingsadditief E140"
"230","bladvoeding","1.0",""
"231","blauwsel","0.0",""
"232","blauwvos","2.0","bont van de blauwvos"
"233","blauwzuurgas","0.0",""
"234","bleekpoeder","",""
"235","bleekwater","1.0",""
"236","blink","1.0","schoensmeer"
"237","bloed","1.0",""
"238","bloedglucose","1.0","suiker in het bloed"
"239","bloedkoraal","1.1","bloedkoraal als materiaal"
"240","bloedsinaasappel","1.1","sap van een bloedsinaasappel"
"241","bloedsinaasappelsap","1.0","vers rood vruchtensap"
"242","bloedsinaasappelsap","1.1","vruchtensap van concentraat"
"243","bloedsuiker","1.0","glucose in het bloed"
"244","bloedvervanger","1.0","kunstbloed"
"245","bloedwijn","1.0","wijn die het bloed zou versterken"
"246","bloem","3.0","witte aanslag op chocolade"
"247","bloem","4.0","fijn gezift meel"
