"resultNumber","lemma","senseNumber","snippet"
"8945","lindebloesemthee","1.1","hoeveelheid lindebloesemthee"
"8946","lingeriewinkel","1.1","gebouw van een lingeriezaak"
"8947","liniaal","1.0",""
"8948","linie","1.0",""
"8949","linieschip","0.0",""
"8950","linkerarm","1.0",""
"8951","linkerbeen","1.0",""
"8952","linkerborst","1.0",""
"8953","linkerbovenbeen","0.0",""
"8954","linkerdij","0.0",""
"8955","linkerdijbeen","0.0",""
"8956","linkerduim","0.0",""
"8957","linkerenkel","1.0",""
"8958","linkerhand","1.0","hand die links zit"
"8959","linkerhand","1.1","onderste notenbalk bij piano"
"8960","linkerhersenhelft","0.0",""
"8961","linkerkamer","0.0",""
"8962","linkerkant","1.1","linkerhelft van het lichaam"
"8963","linkerkant","1.2","linkerkant van een veld"
"8964","linkerknie","1.0",""
"8965","linkermondhoek","0.0",""
"8966","linkermotor","0.0",""
"8967","linkermouw","0.0",""
"8968","linkernaald","1.0","breinaald in de linkerhand"
"8969","linkeroever","1.0",""
"8970","linkeronderbeen","0.0",""
"8971","linkeroog","1.0",""
"8972","linkeroor","1.0",""
"8973","linkerpols","0.0",""
"8974","linkerpoot","0.0",""
"8975","linkerschoen","1.0",""
"8976","linkerschouder","1.0",""
"8977","linkerslaap","0.0",""
"8978","linkervoet","1.0",""
"8979","linkervuist","0.0",""
"8980","linkerwang","1.0",""
"8981","linkerwijsvinger","1.0",""
"8982","linkerzak","0.0",""
"8983","linnenkamer","0.0",""
"8984","linnenkast","1.0",""
"8985","lino","2.0","drukvorm in linoleum"
"8986","lino","3.0","afdruk van een linosnede"
"8987","linoleumsnede","2.0","drukvorm in linoleum"
"8988","linoleumsnede","3.0","afdruk van een linosnede"
"8989","linosnede","2.0","drukvorm in linoleum"
"8990","linosnede","3.0","afdruk van een linosnede"
"8991","lint","1.0",""
"8992","lintbebouwing","1.0",""
"8993","lintdorp","1.0",""
"8994","lintzaag","0.0",""
"8995","linze","1.0","rond, plat zaadje"
"8996","linzensoep","1.0",""
"8997","lip","1.0",""
"8998","lipje","1.0",""
"8999","literatuurprijs","1.0",""
"9000","literatuurstudie","1.0",""
"9001","literfles","1.0",""
"9002","litho","2.0","afdruk in steendruk"
"9003","lithografie","2.0","afdruk in steendruk"
"9004","littekenweefsel","1.0",""
"9005","living","1.0",""
"9006","livrei","1.0","uniform voor huisbedienden"
"9007","livrei","2.0","uitmonstering van voertuigen"
"9008","L-kamer","0.0",""
"9009","loboor","1.0",""
"9010","lochting","1.0",""
"9011","locker","1.0","kluisje"
"9012","locomotief","1.0",""
"9013","Lodewijk XV-meubel","0.0",""
"9014","loempia","1.0","gefrituurd deeglapje met groentevulling"
"9015","loft","1.0","woning zonder binnenmuren"
"9016","loft","2.0","hellingshoek van een golfclub"
"9017","logboek","1.0",""
"9018","logeerbed","1.0",""
"9019","logeerhuis","1.0","zorginstelling voor tijdelijke opvang"
"9020","logeerkamer","1.0",""
"9021","loggia","1.0","galerij of balkon"
"9022","loggia","2.0","veranda"
"9023","lokaal","",""
"9024","lokauto","1.0","auto als lokmiddel voor dieven"
"9025","lokauto","2.0","auto als lokmiddel voor drugsverkoop"
"9026","lokbakfiets","1.0",""
"9027","lokeend","1.1","namaakeend om te lokken"
"9028","lokeend","1.2","persoon of zaak die lokt"
"9029","loketkast","1.0",""
"9030","lokettenhal","0.0",""
"9031","lokfiets","1.0","fiets als lokmiddel voor dieven"
"9032","lokfluit","1.0","tijdens de jacht gebruikte fluit"
"9033","lokkoffer","1.0","koffer als lokmiddel voor diefstal"
"9034","lokvogel","1.1","iets verleidelijks"
"9035","lolly","1.0","snoep op een stokje"
"9036","lommerd","1.1","gebouw van een lommerd"
"9037","long","1.0",""
"9038","longader","0.0",""
"9039","longdrinkglas","0.0",""
"9040","longfoto","0.0",""
"9041","longgezwel","0.0",""
"9042","longpijp","0.0",""
"9043","longread","1.0","lang diepgaand artikel"
"9044","longslagader","1.0",""
"9045","longvlies","0.0",""
"9046","longweefsel","0.0",""
"9047","Lonsdaletrui","1.0","trui van het merk Lonsdale"
"9048","loodgieterstas","0.0",""
"9049","loodje","1.0",""
"9050","loodkabel","0.0",""
"9051","loodkoord","0.0",""
"9052","loodmantel","0.0",""
"9053","loods","1.0","grote opslagruimte of werkplaats"
"9054","loodsboot","1.0","boot voor loodsen"
"9055","loodstaxi","0.0",""
"9056","loodsvaartuig","0.0",""
"9057","loofhut","0.0",""
"9058","lookalike","1.1","iets wat op iets anders lijkt"
"9059","lookworst","1.0","knoflookworst"
"9060","loomarmbandje","1.0","armbandje van loomelastiekjes"
