"resultNumber","lemma","senseNumber","snippet"
"1610","bompa","1.0","opa"
"1611","bomvrouw","0.0",""
"1612","Bonairiaanse","0.0",""
"1613","bondgenoot","1.0",""
"1614","bondgenote","0.0",""
"1615","bondsarts","1.0","arts van een sportbond"
"1616","bondsbestuurder","1.0",""
"1617","bondsbestuurslid","0.0",""
"1618","bondscoach","1.0","coach van een nationaal team"
"1619","bondsco\u00F6rdinator","0.0",""
"1620","Bondsdagpresident","",""
"1621","Bondsdagvoorzitter","",""
"1622","bondsdirecteur","0.0",""
"1623","bondskanselier","1.0",""
"1624","bondsleider","1.0",""
"1625","bondslid","0.0",""
"1626","bondsman","1.0",""
"1627","bondspenningmeester","1.0","penningmeester van een bond"
"1628","bondspresident","1.0",""
"1629","bondstrainer","1.0",""
"1630","bondsvertegenwoordiger","0.0",""
"1631","bondsvoorzitter","1.0","voorzitter van een sportbondsbestuur"
"1632","bondsvoorzitter","2.0","voorzitter van een vakbondsbestuur e.d."
"1633","bonenteller","1.0","accountant"
"1634","bonnenverkoper","0.0",""
"1635","bontwerker","0.0",""
"1636","bonuman","",""
"1637","bonusbroer","1.0","stiefbroer"
"1638","bonusdochter","1.0","dochter met stiefouder(s)"
"1639","bonuskind","1.0","kind met stiefouder(s)"
"1640","bonusmama","1.0","stiefmoeder"
"1641","bonusmoeder","1.0","stiefmoeder"
"1642","bonusouder","1.0","stiefouder"
"1643","bonuspapa","1.0","man met een of meer stiefkinderen"
"1644","bonusrenner","1.0","gekozen wielrenner in een wielerpool"
"1645","bonusrenner","2.0","wielrenner die onverwachts wint"
"1646","bonusvader","1.0","stiefvader"
"1647","bonuszoon","1.0","zoon met stiefouder(s)"
"1648","bonuszus","1.0","stiefzus"
"1649","boodschappenjongen","1.0",""
"1650","boodschapper","1.0","iemand die een boodschap overbrengt"
"1651","Boogschutter/boogschutter","1.0","schutter met een boog"
"1652","Boogschutter/boogschutter","1.1","sporter die boogschiet"
"1653","Boogschutter/boogschutter","3.1","geborene onder Boogschutter"
"1654","bookmaker","1.0",""
"1655","booktokker","1.0","tiktokker die boekentips geeft"
"1656","boomchirurg","1.0","iemand die zieke bomen behandelt"
"1657","boomer","1.0","iemand geboren kort na WO II"
"1658","boomer","1.1","iemand met een conservatief gedachtegoed"
"1659","boomkorvisser","1.0","professionele visser met boomkor"
"1660","boomkweker","1.0",""
"1661","boon","5.0","persoon die zich braaf voordoet"
"1662","boontje","2.0","persoon"
"1663","boordroeier","1.0",""
"1664","boordwerktuigkundige","0.0",""
"1665","boosdoener","1.0","iemand die ergens de schuld van is"
"1666","booteigenaar","0.0",""
"1667","bootsman","1.0","leidinggevende van matrozen"
"1668","bootsman","2.0","onderofficier bij de marine"
"1669","bootsman","3.0","verantwoordelijke bij waterscouts"
"1670","bootsman","4.0","iemand die roeiboten beheert"
"1671","bootvluchteling","1.0","iemand die vlucht per boot"
"1672","bootwerker","0.0",""
"1673","bootycall","1.1","iemand met wie je seks hebt"
"1674","borderlinepati\u00EBnt","0.0",""
"1675","borduurster","0.0",""
"1676","borg","1.0",""
"1677","Borgerhoutenaar","1.0",""
"1678","Borgerhoutse","1.0","vrouw uit Borgerhout"
"1679","boroman","1.0",""
"1680","Borsselaar","1.0","iemand uit Borssele"
"1681","Borsselse","1.0","vrouw uit Borssele"
"1682","borstkind","1.0","kind dat borstvoeding heeft gekregen"
"1683","borstlijder","1.0","iemand die aan een borstkwaal lijdt"
"1684","bosaap","1.0","ongemanierd of verwilderd persoon"
"1685","bosbader","1.0","iemand die een bosbad neemt"
