"resultNumber","lemma","senseNumber","snippet"
"206","bagage","1.0","datgene wat iemand op reis meeneemt"
"207","bagage","1.2","commercieel product voor bagagevervoer"
"208","bagage","3.0","geheel van kennis en ervaring"
"209","bagage","3.1","geheel van natuurlijke eigenschappen"
"210","baggerindustrie","1.0","industrie die baggerwerken uitvoert"
"211","baggerindustrie","1.1","geheel van bedrijven die baggerwerken uitvoeren"
"212","baggervloot","1.0","verzameling baggervaartuigen"
"213","bakfietsgezin","1.0","gezin met bakfiets"
"214","baksteengroep","0.0",""
"215","baliepersoneel","1.0","personeel aan een balie"
"216","ballet","1.0",""
"217","balletgezelschap","1.0",""
"218","balletgroep","0.0",""
"219","balletorkest","0.0",""
"220","balletschool","1.3","schoolgemeenschap van een balletschool"
"221","ballotagecommissie","0.0",""
"222","bandietenbende","1.0","roversbende"
"223","bandietenbende","2.0","groep die zich als een roversbende gedraagt"
"224","bankbestuur","0.0",""
"225","bankencommissie","0.0",""
"226","banket","2.0","zoet gebak"
"227","banketbakkerij","2.0","banket"
"228","bankgroep","1.0",""
"229","bankiersfamilie","1.0",""
"230","bankiersvereniging","1.0",""
"231","bankpersoneel","1.0","personeel van een bank"
"232","bankstel","1.0",""
"233","barbershopkoor","0.0",""
"234","basenpaar","1.0",""
"235","basics","1.0","basiselementen"
"236","basics","1.1","basiskledingstukken"
"237","basisbibliotheek","0.0",""
"238","basiseenheid","1.0",""
"239","basiselftal","0.0",""
"240","basisgemeenschap","1.0",""
"241","basisgroep","1.0",""
"242","basisindustrie","1.0","industrie die halffabricaten produceert"
"243","basisindustrie","1.1","geheel van bedrijven die halffabricaten produceren"
"244","basiskerk","0.0",""
"245","basismetaalindustrie","0.0",""
"246","basisploeg","1.0",""
"247","basisteam","1.0",""
"248","basisuitrusting","1.0",""
"249","basisvoedsel","1.0",""
"250","basketbalbond","1.0","belangenvereniging voor basketballers"
"251","basketbalclub","1.0","basketbalvereniging"
"252","basketbalploeg","0.0",""
"253","basketbalteam","1.0","team dat basketbal speelt"
"254","basketbalvereniging","1.0","basketbalclub"
"255","Batak","1.0","groep volkeren op Sumatra"
"256","bazuinkoor","1.0","band van blaasinstrumenten"
"257","B-categorie","0.0",""
"258","beademingsapparatuur","1.0",""
"259","beatgroep","0.0",""
"260","beatlehaar","0.0",""
"261","bebophaar","0.0",""
"262","bediendepersoneel","0.0",""
"263","bediendevakbond","1.0","vakbondsvereniging voor bedienden"
"264","bedrijfsafval","1.0",""
"265","bedrijfseenheid","1.0",""
"266","bedrijfsgroep","1.0",""
"267","bedrijfskleding","1.0",""
"268","bedrijfsleiding","1.0",""
"269","bedrijfsvereniging","1.0",""
"270","bedrijvenbond","0.0",""
"271","bedrijvencomplex","1.0",""
"272","bedrijvengroep","1.0",""
"273","beekforel","1.1","beekforel als vissoort"
"274","beeldengroep","1.0",""
"275","beeldenstroom","1.0",""
"276","beeldhouwschool","1.0","groep artistiek verwante beeldhouwers"
"277","beerput","2.0","verzameling smerige zaakjes"
"278","begeleidingscommissie","1.0",""
"279","begeleidingsgroep","1.0",""
"280","begeleidingsorkest","0.0",""
"281","begeleidingsteam","1.0",""
"282","begrafenisvereniging","1.0",""
"283","begrippenapparaat","1.0",""
"284","begrippenpaar","1.0",""
"285","begrotingscommissie","1.0",""
"286","behandelteam","1.0",""
"287","beheerpersoneel","",""
"288","beheerraad","1.0",""
"289","beheerscomit\u00E9","0.0",""
"290","beheerscommissie","0.0",""
"291","beheerseenheid","0.0",""
"292","beheerspersoneel","",""
"293","bejaardenkoor","0.0",""
"294","bekentenisliteratuur","0.0",""
"295","bekerwinnaar","1.0",""
"296","beklagcommissie","0.0",""
"297","belangenclub","1.0","belangenvereniging"
"298","belangengemeenschap","1.0",""
"299","belangengroep","1.0",""
"300","belangengroepering","1.0",""
"301","belangenvereniging","1.0",""
"302","belastingcategorie","0.0",""
"303","beleg","2.0","belegsel"
"304","beleg","3.0","broodbeleg"
"305","beleggersgroep","1.0",""
"306","beleggerspubliek","0.0",""
"307","beleggingsclub","1.0","groep van beleggers"
"308","beleidscategorie","0.0",""
"309","beleidscel","0.0",""
"310","beleidscomit\u00E9","0.0",""
"311","beleidsteam","1.0",""
"312","bellettrie","1.0","letterkundige werken"
"313","belofteteam","1.0","sportteam van talenten"
"314","belofteteam","2.0","team van talenten"
"315","bemanning","1.0",""
"316","bemiddelingscommissie","1.0",""
"317","Bemiddelingsraad","1.0","bemiddelingsorgaan in Suriname"
"318","bende","1.0",""
"319","benoemingscommissie","1.0",""
"320","beoordelingscommissie","1.0",""
"321","beraadsgroep","0.0",""
"322","Berbervolk","0.0",""
"323","bergingsploeg","0.0",""
"324","bergingsteam","0.0",""
"325","bergvolk","1.0",""
"326","berichtenstroom","0.0",""
